"draw","n","observed","counterfactual","att","reduction_pct","negative_counterfactual_cells"
293,4998,107004,141698.329812735,-6.94164261959477,24.4846427326179,439
294,4990,147369,112178.481241743,7.05220816798736,-31.3701151671164,166
295,4908,124034,162958.341663317,-7.93079495992596,23.8860688357623,319
296,4965,106182,127089.292340443,-4.2109350131809,16.4508684842129,380
297,4996,139797,184921.22237636,-9.03207013137701,24.4018624776992,457
298,5119,121935,148971.182049785,-5.28153585657053,18.1485987274702,543
299,5091,120537,148027.226764775,-5.39976954719609,18.5710611254368,441
300,4880,129142,121001.849863707,1.66806355251903,-6.72729395911028,431
301,4974,135955,150451.536502923,-2.9144625056138,9.63535291156126,383
302,5069,116339,144745.160761782,-5.6038983550567,19.6249467769997,402
303,5090,143992,183226.786979885,-7.70820962276724,21.413237456482,425
304,5055,117939,160421.826518019,-8.40411998378219,26.4819491462698,459
305,5004,134998,150372.22393209,-3.07238687691645,10.2241115613433,399
306,5119,122766,110146.47858242,2.46523176745066,-11.4570357400369,524
307,5065,127725,146994.619950386,-3.80446593294892,13.1090647786226,439
308,5136,144692,169937.163070712,-4.91533548884573,14.8555869796455,363
309,5048,132372,153938.519721047,-4.2722899605877,14.0098266243742,348
310,5057,133488,177482.927191999,-8.69980763140189,24.788258728912,509
311,4954,126133,163964.617962145,-7.63658012962155,23.0730376055153,416
312,4978,129235,83808.2912990737,9.12549391340424,-54.2031199977805,191
313,5047,118430,116101.106795332,0.461441094643899,-2.00591817679501,497
314,5128,131512,151352.084032932,-3.86897114526756,13.1085634926673,434
315,5000,129154,141704.213298384,-2.51004265967676,8.85662677647916,390
316,5028,120799,137306.880209127,-3.28319017683522,12.0226169176554,414
317,5060,130962,149199.586910017,-3.60426618775047,12.223617563376,437
318,5109,142085,150959.482310591,-1.73702922501284,5.87871803397673,581
319,5097,138793,166586.765286617,-5.45296552611668,16.6842577432828,382
320,5003,136249,160530.68497725,-4.85342494048573,15.1258838649391,412
321,5079,142631,160279.708613703,-3.47483926239471,11.0111933483974,511
322,5012,143333,167669.493336843,-4.85564511908281,14.5145624600605,349
323,5118,132744,154102.396227957,-4.17319191636526,13.8598728837174,479
324,5176,163765,192445.24821059,-5.5410062230661,14.9030690428925,414
325,5001,128116,160045.540894285,-6.38463125260647,19.9502845976667,401
326,4981,122103,141077.742034507,-3.80942421893337,13.4498481198161,365
327,5089,114076,144859.763072516,-6.04907900815805,21.2507341028206,449
328,5001,143692,150520.239454991,-1.36537481603492,4.53642611765339,359
329,4957,141890,160317.92471636,-3.71755592422024,11.4946128132354,371
330,4976,133156,164598.306657387,-6.31879153082539,19.1024484369907,373
331,5022,116744,156099.885774425,-7.83669569383204,25.2119888359794,432
332,5079,142877,171127.541326351,-5.56222510855495,16.5084714636758,428
333,4905,111172,133723.164182216,-4.59758698923869,16.8640671346116,451
334,4995,121646,143129.592010691,-4.30101942155976,15.009888387781,437
335,4993,144372,144372.940145646,-0.000188292739002585,0.000651192422133587,425
336,5049,105904,124955.864393782,-3.77339362126796,15.2468749555783,444
337,5072,113836,154175.551531379,-7.95338161107636,26.1646876762876,443
338,5015,121132,146489.27326039,-5.05628579469384,17.3099863874102,424
339,4954,122802,146305.992388695,-4.74444739376154,16.0649553753417,413
340,5074,127719,143563.422598275,-3.12266901818579,11.0365316676876,396
341,4954,115283,139110.062382006,-4.80966136092168,17.1282091129937,558
342,4906,114852,129666.040164415,-3.01957606286479,11.4247648386815,391
343,4996,111336,139523.36868634,-5.64198732712968,20.2026147674999,352
344,4942,118634,144036.921060898,-5.14021065578671,17.6363954976223,442
345,5011,145114,124865.84002052,4.04074236269803,-16.2159322166513,553
346,5114,145727,175866.586129488,-5.89354441327499,17.1377558368574,427
347,5063,128530,145891.75322855,-3.42914343838627,11.9004349761643,377
348,5055,130159,155104.164782864,-4.93475069888511,16.0828465294828,369
349,5026,140802,161352.618957905,-4.08886171068544,12.736464453215,431
350,4916,111538,144428.963051328,-6.69059459953782,22.7731075238967,397
351,4994,111552,131252.708464647,-3.9448755435816,15.0097538520152,690
352,5007,109189,147691.82644394,-7.68979956939082,26.0697070183194,492
353,4996,142716,177576.893099374,-6.9777608285377,19.6314354254783,345
354,4897,113580,150349.867057833,-7.50865163525275,24.4562019091703,329
355,5096,162243,195340.189011369,-6.49473881698764,16.943358752173,327
356,5033,127811,150119.483032139,-4.43244248602015,14.8604848495004,401
357,5078,144282,180468.842920256,-7.12619986613948,20.0515736316025,476
358,5089,139765,171185.736158172,-6.17424565890591,18.3547629979755,378
359,5048,159340,193912.992003277,-6.84884944597403,17.8291261694795,372
360,5077,131452,86621.5347743674,8.83010936096762,-51.7544111200609,757
361,5139,114735,140847.763500426,-5.08129276132042,18.5397075902783,609
